,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,
Player,Posc,Edad,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xA,A-xA,PC,01-mar,PPA,CrAP,Prog,Partidos
Aleksandar-Mitrovic,FW,24,29,519,891,58.2,21633,17650,1,1,100,179,181,98.9,339,709,47.8,0,0.2,-0.2,2,12,1,0,0,Partidos
Sergio Rico,GK,30,28.8,1165,1418,82.2,22741,8242,10,28,35.7,878,975,90.1,277,415,66.7,1,0.8,0.2,11,106,9,2,104,Partidos
Calum Chambers,CMR,24,26.1,907,1291,70.3,16413,7598,6,42,14.3,745,901,82.7,156,348,44.8,1,2.6,-1.6,23,79,24,14,176,Partidos
Joe Bryan,LB,27,25,1433,1712,83.7,27643,7130,19,39,48.7,1073,1190,90.2,341,483,70.6,2,3.7,-1.7,55,124,24,5,172,Partidos
Ryan Sessegnon,RW,28,25,1195,1448,82.5,23779,9349,5,24,20.8,915,1002,91.3,275,422,65.2,1,0.5,0.5,7,57,9,3,87,Partidos
Maxime Le Marchand,CBR,30,22.8,910,1036,87.8,17923,6478,2,14,14.3,707,757,93.4,201,265,75.8,0,0.1,-0.1,2,48,2,0,70,Partidos
Tim Ream,CBL,27,24.4,1257,1412,89,21716,4012,16,29,55.2,1015,1090,93.1,226,293,77.1,1,2.9,-1.9,37,109,31,2,119,Partidos
Tom Cairney,AM,27,18.3,426,571,74.6,6862,1662,4,27,14.8,364,434,83.9,58,110,52.7,0,1.8,-1.8,21,33,26,9,52,Partidos
Andre-Frank Zambo Anguissa,CML,31,14,410,515,79.6,6440,1687,14,34,41.2,344,390,88.2,52,91,57.1,3,1.9,1.1,23,27,10,3,42,Partidos
Ryan Babel,LW,24,12.6,397,487,81.5,8970,2945,2,6,33.3,263,291,90.4,132,190,69.5,0,0,0,1,19,0,0,29,Partidos
Timothy Fosu-Mensah,RB,26,7,154,237,65,5646,4315,0,0,,65,65,100,89,172,51.7,0,0,0,0,5,1,0,0,Partidos
